"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
3.83,-32.4251947427828,-0.24008680261707
3.84,-32.406382791006,-0.240700293941483
3.85,-32.3876433933395,-0.241313821077548
3.86,-32.368976208915,-0.241927384465048
3.87,-32.3503808999296,-0.242540984534953
3.88,-32.3318571316108,-0.243154621709486
3.89,-32.3134045721813,-0.243768296402134
3.9,-32.2950228928252,-0.244382009017756
3.91,-32.2767117676539,-0.24499575995264
3.92,-32.258470873672,-0.245609549594552
3.93,-32.240299890745,-0.246223378322781
3.94,-32.2221985015672,-0.246837246508252
3.95,-32.204166391628,-0.247451154513532
3.96,-32.1862032491816,-0.248065102692963
3.97,-32.1683087652155,-0.24867909139264
3.98,-32.1504826334189,-0.249293120950575
3.99,-32.1327245501532,-0.249907191696683
4,-32.1150342144213,-0.250521303952908
4.01,-32.0974113278383,-0.251135458033238
4.02,-32.0798555946021,-0.251749654243818
4.03,-32.0623667214645,-0.252363892882986
4.04,-32.0449444177028,-0.252978174241383
4.05,-32.0275883950919,-0.253592498601955
4.06,-32.0102983678762,-0.254206866240099
