"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
7.12,-1.11362885081228
7.13,-1.13707843839373
7.14,-1.16234858995799
7.15,-1.18958212280127
7.16,-1.21893587609186
7.17,-1.25058225387223
7.18,-1.28471094969978
7.19,-1.3215308733962
7.2,-1.3612723018657
7.21,-1.40418927715467
7.22,-1.45056227563701
7.23,-1.5007011721059
7.24,-1.55494852118105
7.25,-1.61368317516711
7.26,-1.67732425142566
7.27,-1.74633545220645
7.28,-1.82122972398688
7.29,-1.90257421929332
7.3,-1.99099548840959
7.31,-2.08718477675916
7.32,-2.19190322981911
7.33,-2.30598670262425
7.34,-2.43034972356627
7.35,-2.56598795643064
7.36,-2.71397821903477
7.37,-2.87547472282623
7.38,-3.05169965768551
7.39,-3.24392551153619
7.4,-3.4534455256048
7.41,-3.68152737578541
7.42,-3.92934347529167
7.43,-4.197869186702
7.44,-4.48773779528029
7.45,-4.7990386751909
7.46,-5.13104357852169
7.47,-5.48184737055731
7.48,-5.84791765159051
7.49,-6.22356905821573
7.5,-6.60042176029067
7.51,-6.96697801703567
7.52,-7.30855153902047
7.53,-7.60787293865686
7.54,-7.84667513652199
7.55,-8.00830637422802
7.56,-8.08089106679626
7.57,-8.06000255221906
7.58,-7.94971354710877
7.59,-7.76152969112245
7.6,-7.51171787728705
7.61,-7.21816697053096
7.62,-6.8978067368814
7.63,-6.56505144142813
7.64,-6.23121235989803
7.65,-5.9045738618441
7.66,-5.59081230790256
7.67,-5.2935267030042
7.68,-5.01475052193228
7.69,-4.75538756590899
7.7,-4.5155575604717
7.71,-4.29485788264566
7.72,-4.0925554502791
7.73,-3.90772389194986
7.74,-3.73933942788666
7.75,-3.58634637242694
7.76,-3.44770069189763
7.77,-3.32239794275042
7.78,-3.20949024047478
7.79,-3.10809563223308
7.8,-3.01740229451486
7.81,-2.93666927906831
7.82,-2.86522502363871
7.83,-2.80246447886662
7.84,-2.74784544106341
7.85,-2.70088449403314
7.86,-2.66115283078416
7.87,-2.62827213260515
7.88,-2.60191061754598
7.89,-2.58177932487095
7.9,-2.56762867079691
